plz,district,name,street,house_number,provider,licensed_capacity
10115,Mitte,BCS Kindergarten Preschool,Invalidenstr.,130,EBS-Europäische Bildungsstiftung gGmbH,320
10115,Mitte,FRÖBEL Kindergarten Mittendrin,Borsigstr.,032,Fröbel Bildung und Erziehung gGmbH,200
10115,Mitte,Kita Kinderakademie,Habersaathstr.,013,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,150
10115,Mitte,Kita Gartenstr. 107/Kigä City,Gartenstr.,107,Kindergärten City,140
10115,Mitte,Berlin Metropolitan School,Linienstr.,122,Berlin Metropolitan School gGmbH,140
10115,Mitte,Kita St. Elisabeth,Elisabethkirchstr.,021,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,125
10115,Mitte,Kita Habersaathstraße,Habersaathstr.,005,INA.KINDER.GARTEN gGmbH,90
10115,Mitte,Ev. Kita Sophien,Große Hamburger Str.,028,Ev. Kirchenkreisverband für Kindertageseinrichtungen Berlin Mitte-Nord,84
10115,Mitte,Lauder Nitzan Kindergarten Yeshivat Beit Zion-Lauder Jüdisches Lehrhaus,Brunnenstr.,033,Lauder Yeshurun gGmbH,70
10115,Mitte,FRÖBEL - Kindergarten Charité Mitte,Invalidenstr.,103A,Fröbel Bildung und Erziehung gGmbH,70
10115,Mitte,FRÖBEL Kindergarten Casa Fantasia,Anklamer Str.,038,Fröbel Bildung und Erziehung gGmbH,69
10115,Mitte,Kita Wasserflöhe,An der Kieler Brücke,031,Johanniter-Unfall-Hilfe e. V. Regionalverband Berlin,60
10115,Mitte,Kita jurella am Park,Chausseestr.,50B,Jurella gGmbH,54
10115,Mitte,Jump Bilingual Kindergarten,Bergstr.,079,Jump Bilingual Kindergarten gUG,42
10115,Mitte,Kinderladen Oskar Kirschkern,Anklamer Str.,029,Kirschkern e.V.,35
10115,Mitte,Kita Kinderinsel,Eichendorffstr.,017,Kinderinsel e. V. Inselnest,30
10115,Mitte,Kita Cavalo-Marinho/Portubi e.V.,Anklamer Str.,046,PORTUBI e. V.,30
10115,Mitte,Kita Feuerfalter,Chausseestr.,084,SOCIUS - Die Bildungspartner gemeinnützige GmbH,28
10115,Mitte,Kinderladen Paul Kirschkern,Anklamer Str.,029,Kirschkern e.V.,25
10115,Mitte,Musikkindergarten Sternenklang,Rheinsberger Str.,056,Musikkindergarten Sternenklang gemeinnützige UG (haftungsbeschränkt),25
10115,Mitte,Kinderladen Emil Kirschkern,Ackerstr.,3A,Kirschkern e.V.,25
10115,Mitte,Eschkol Kindergarten,Brunnenstr.,033,Kahal Adass Jisroel KiTa gemeinnützige UG (haftungsbeschränkt),25
10115,Mitte,"EKT - ""Pippi Langstrumpf""",Krausnickstr.,003A,Kinderladen Pippi Langstrumpf e.V.,21
10115,Mitte,EKT NaturKindergarten Berlin Mitte,Krausnickstr.,011,Initiative zur Gründung eines Naturkindergartens in Berlin Mitte e.V.,19
10115,Mitte,EKT - Rosinante,Strelitzer Str.,071,Rosinante e.V.,17
10117,Mitte,Kita Pelikan,Friedrichstr.,129F,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,190
10117,Mitte,Kita Jerusalemer Str. 10/12/Kigä City,Jerusalemer Str.,010,Kindergärten City,185
10117,Mitte,Kita Französische Str. 16a u. 16b,Französische Str.,016,Kinder im Kiez gGmbH,180
10117,Mitte,Kita Kinderwelt,An der Kolonnade,003,Forum Soziale Dienste GmbH,155
10117,Mitte,Musikkindergarten Berlin,Leipziger Str.,041,MUSIKKINDERGARTEN BERLIN e.V. c/o Staatsoper im Schillertheater,135
10117,Mitte,Kindergarten Alegria Jardin infantil,Mohrenstr.,007,Alegria Kiga gGmbH,100
10117,Mitte,Kita an der Humboldt-Universität zu Berlin,Ziegelstr.,005,studierendenWERK BERLIN,88
10117,Mitte,Kita F.A.I.R.play,Albrechtstr.,20,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,69
10117,Mitte,Kita Umka,Leipziger Str.,047,MITRA bilinguale Kindergärten gemeinnützige GmbH,65
10117,Mitte,Alegria Kiga,Mohrenstr.,011,Alegria Kiga gGmbH,48
10117,Mitte,Kindergarten Alegria,Voßstr.,012,Alegria Kiga gGmbH,45
10117,Mitte,Kita CASA AZUL - MAISON BLEUE,Reinhardtstr.,031,CASA AZUL - BLAUES HAUS e.V.,45
10117,Mitte,FRÖBEL-Kindergarten,Jägerstr.,025,Fröbel Bildung und Erziehung gGmbH,30
10117,Mitte,FRÖBEL-Kindergarten in der Charite Rahel Hirsch,Charitéplatz,001,Fröbel Bildung und Erziehung gGmbH,25
10117,Mitte,Kinderinsel Ziegelstraße,Ziegelstr.,027,Kinderinsel Ziegelstraße gUG (haftungsbeschränkt),23
10117,Mitte,Kita im BMFSFJ,Glinkastr.,024,Kinder im Kiez gGmbH,20
10117,Mitte,Jump Bilingual Kindergarten,Wilhelmstr.,088,Jump Bilingual Kindergarten gUG,20
10117,Mitte,Kita im BMAS,Wilhelmstr.,050,Kinder im Kiez gGmbH,18
10117,Mitte,Kita im BMEL,Wilhelmstr.,054,Kinder im Kiez gGmbH,15
10117,Mitte,FRÖBEL -Kita im BMG,Mauerstr.,029,Fröbel Bildung und Erziehung gGmbH,15
10117,Mitte,Kita BMBF,Kapelle-Ufer,002,Fröbel Bildung und Erziehung gGmbH,12
10119,Mitte,Kita Kleine Auguststr. 10/11Kigä City,Kleine Auguststr.,011,Kindergärten City,220
10119,Mitte,Kita Max-Beer-Str. 24/26/Kigä City,Max-Beer-Str.,24,Kindergärten City,200
10119,Mitte,Kita Pfiffikus,Rückerstr.,002,BIK e.V. Berliner Institut für Kleinkindpädagogik und familienbegleitende Kinderbetreuung,150
10119,Mitte,Kita Veteranenstr. 10/Kigä City,Veteranenstr.,10,Kindergärten City,133
10119,Mitte,Kita Torstraße,Torstr.,134,"Be Smart Academy ""Alte Seifenfabrik"" gGmbH",102
10119,Mitte,Kita Oase,Kastanienallee,063A,Pfefferwerk Stadtkultur gGmbH,95
10119,Mitte,Kita Regenbogen,Fehrbelliner Str.,080,Pfefferwerk Stadtkultur gGmbH,91
10119,Mitte,El mundo de los ninos,Fehrbelliner Str.,051,El mundo de los ninos e. V.,65
10119,Mitte,Fliederhof Waldorfkindergarten Berlin-Mitte,Zionskirchstr.,049,Waldorfkindergarten Fliederhof Berlin-Mitte e.V.,43
10119,Mitte,El mundo de los ninos,Brunnenstr.,030,El mundo de los ninos e. V.,42
10119,Pankow,Kath. Kita Herz Jesu,Schönhauser Allee,182,Kitas im Erzbistum Berlin-Zweckverband der katholischen Kirchengemeinden,40
10119,Mitte,Kita Steinstraße 27,Steinstr.,027,Waldorfkindergarten Fliederhof Berlin-Mitte e.V.,25
10119,Pankow,El mundo de los ninos,Fehrbelliner Str.,097,El mundo de los ninos e. V.,25
10119,Pankow,EKT Mittenmang,Christinenstr.,030,EKT Mittenmang e. V.,23
10178,Mitte,"FRÖBEL Kindergarten ""Traumzauberbaum""",Mollstr.,007A,Fröbel Bildung und Erziehung gGmbH,240
10178,Mitte,Kita Weydemeyerstr. 20/21,Weydemeyerstr.,020,Kindergärten City,138
10178,Mitte,Kita am Alex,Wadzeckstr.,004,Mahalo gGmbH,100
10178,Mitte,Kinderinsel Nebenan,Garnisonkirchplatz,002,Kinderinsel am Garnisonkirchplatz gUG (haftungsbeschränkt),25
10178,Mitte,Kinderinsel MITTEndrin,Garnisonkirchplatz,002,Kinderinsel MITTEndrin - Kita am Hackeschen Markt gGmbH,23
10178,Mitte,El Mundo de Los Ninos,Hirtenstr.,012,El mundo de los ninos gGmbH,13
10179,Mitte,"FRÖBEL Kindergarten ""Schatzinsel""",Fischerinsel,008,Fröbel Bildung und Erziehung gGmbH,234
10179,Mitte,Kita Schmidchen,Schmidstr.,004,Kinder- und Jugend der Volkssolidarität Berlin gGmbH,215
10179,Mitte,Lichtenberger Straße 32/33,Lichtenberger Str.,032,Kindergärten City,190
10179,Mitte,Kita Jacoby-Schwalbe,Jacobystr.,004,casa bambini - Gesellschaft zur Förderung und Begleitung von Kindesentwicklung mbH,105
10179,Mitte,Kita Villa Murkelmaier,Sebastianstr.,22,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,94
10179,Mitte,Kita Pusteblume,Sebastianstr.,023,GFJ - gemeinnützige Gesellschaft für Familien- und Jugendhilfe mbH,86
10179,Mitte,Kita Trauminsel,Schmidstr.,002,Forum Soziale Dienste GmbH,85
10179,Mitte,Kleiner Fratz,Alexandrinenstr.,056,Kleiner Fratz GmbH,55
10179,Mitte,Deutsch-Italienische Kita/Kigä City,Schmidstr.,2E,Kindergärten City,55
10179,Mitte,Kita Adalbertstraße 24,Adalbertstr.,024,Gemeindeaufbauprojekt Kreuzberg Ost e.V.,30
10179,Mitte,Kinderladen IrgendWieAnders,Wilhelmine-Gemberg-Weg,10,FürKinder e. V.,25
10179,Mitte,Inklusionskita Salamander Fischerinsel,Mühlendamm,1,Kita Salamander gGmbH,25
10179,Mitte,Kila Spreepferdchen,Köpenicker Str.,045,abc city kids e. V.,23
10179,Mitte,Heilpädagogische Gruppe Kita Trauminsel,Schmidstr.,002,Forum Soziale Dienste GmbH,5
10243,Friedrichshain-Kreuzberg,Kita Spiel- und Erlebniswelt,Andreasstr.,037,Jugend- und Sozialwerk gGmbH,248
10243,Friedrichshain-Kreuzberg,FRÖBEL Kindergarten FRÖBELSPATZEN,Palisadenstr.,030,Fröbel Bildung und Erziehung gGmbH,230
10243,Friedrichshain-Kreuzberg,BOOT-Kita Farbenland,Koppenstr.,015,Gemeinnützige BOOT GmbH,210
